Cruise,segnum,stlin,endlin,lat1,lon1,lat2,lon2
2021,153,20994,21241,20.175,148.5995,19.54233,147.808
2021,154,21250,21290,19.5095,147.774,19.39817,147.65433
2021,155,21308,21403,19.378,147.64133,19.17067,147.41419
2021,156,21431,21465,19.135,147.45333,19.0835,147.32984
2021,157,21522,21561,20.48017,146.69083,20.5975,146.642
2021,158,21570,21587,20.62,146.653,20.65583,146.63884
2021,159,21588,21737,20.65583,146.63883,21.08167,147.00316
2021,160,21772,21798,21.09317,147.00633,21.14833,147.07431
2021,161,21846,21924,21.16633,147.06917,21.34383,147.28516
2021,162,21932,21956,21.368,147.31,21.417,147.3625
2021,163,21961,21991,21.43333,147.3795,21.462,147.40815
2021,164,22114,22172,22.79033,146.8065,23.01367,146.70702
2021,165,22175,22638,23.013,146.70467,21.65733,145.16769
2021,166,22658,22829,22.49267,144.83483,22.94917,145.30565
2021,167,22969,23030,23.3785,145.76117,23.54417,145.93849
2021,168,23060,23077,23.65283,146.0565,23.69867,146.10166
2021,169,23085,23131,23.69767,146.0895,23.587,145.98317
2021,170,23134,23171,23.58283,145.98433,23.51367,146.10315
2021,171,23199,23223,22.70767,147.18817,22.67417,147.23348
2021,172,23256,23268,22.67183,147.28283,22.647,147.30032
2021,173,23301,23345,22.55867,147.275,22.40133,147.18367
2021,174,23600,23611,21.86033,146.43367,21.82467,146.44366
2021,175,23614,23735,21.8215,146.44217,21.4205,146.13986
2021,176,23759,23851,20.32033,146.20517,20.05267,145.91585
2021,177,23916,23987,20.09817,145.94317,19.88333,145.7385
2021,178,24012,24020,19.91,145.60933,19.9135,145.59285
2021,179,24037,24053,19.927,145.5595,19.935,145.50918
2021,180,24081,24126,19.90883,145.46467,19.96967,145.30968
2021,181,24212,24232,20.49433,144.88183,20.53817,144.83167
2021,182,24246,24266,20.53917,144.8385,20.5945,144.86483
2021,183,24274,24285,20.58933,144.88767,20.5835,144.91166
2021,184,24290,24322,20.58117,144.92133,20.49983,144.93883
2021,185,24386,24405,20.36267,144.98383,20.30683,145.03516
2021,186,24411,24424,20.28483,145.055,20.27367,145.06499
2021,187,24433,24466,20.2495,145.06417,20.17367,145.14831
2021,188,24483,24771,20.12083,145.2055,19.8035,145.55665
2021,189,24804,24840,19.98183,147.07317,20.06433,147.14049
2021,190,24897,24913,20.0525,147.17767,20.082,147.19183
2021,191,24937,25138,20.1385,147.19533,20.75283,147.87598
2021,192,25150,25322,20.78883,147.91683,21.32283,148.50065
2021,193,25343,25369,20.514,148.60533,20.43567,148.65866
2021,194,25372,25483,20.43183,148.65833,20.09333,148.39984
2021,195,25528,25626,20.0895,148.39533,19.80783,148.21584
2021,196,25629,25637,19.80567,148.21483,19.79783,148.214
2021,197,25664,25688,19.7555,148.226,19.73467,148.28149
2021,198,25695,25796,19.72783,148.30067,19.57717,148.68932
2021,199,25800,25811,19.57283,148.7005,19.56567,148.7195
2021,200,25840,25874,19.54267,148.79183,19.517,148.90232
2021,201,25881,25904,19.5315,148.91483,19.562,148.98431
2021,202,25920,26217,19.43967,148.92667,18.52083,147.94267
2021,203,26224,26271,18.18817,148.03217,18.06517,148.0375
2021,204,26305,26337,17.795,147.17433,17.704,147.08018
2021,205,26368,26436,17.65167,147.07517,17.487,146.85351
2021,206,26451,26514,17.4395,146.8205,17.26567,146.6235
2021,207,26524,26700,17.23633,146.593,16.69933,146.04101
2021,208,26724,26741,16.672,146.03833,16.651,145.98284
2021,209,26743,26858,16.6515,145.9815,16.72983,145.80683
2021,210,26886,26894,15.35667,145.73367,15.345,145.72069
2021,211,26958,26972,15.33867,145.71317,15.31983,145.69551
2021,212,26980,26992,15.30267,145.69617,15.29467,145.68034
2021,213,27002,27012,15.26817,145.642,15.249,145.622
2021,214,27023,27346,15.21117,145.58383,14.23083,144.71334
2021,215,27467,27570,14.666,142.82867,14.35483,142.50651
2021,216,27575,27591,14.34133,142.49317,14.29416,142.44735
2021,217,27602,27860,14.2615,142.41567,13.45183,141.62035
2021,218,27904,27944,13.31183,141.53017,13.23817,141.41101
2021,219,27953,28009,14.505,141.874,14.68517,141.78717
2021,220,28011,28095,14.688,141.78817,14.956,141.94433
2021,221,28107,28234,14.98717,141.97317,15.29367,142.28681
2021,222,28255,28266,15.36117,142.34433,15.3815,142.36449
2021,223,28282,28336,15.43767,142.41967,15.55617,142.53883
2021,224,28345,28365,15.57483,142.57517,15.59217,142.60916
2021,225,28405,28413,15.4865,142.59067,15.49633,142.58483
2021,226,28416,28438,15.50067,142.58667,15.55933,142.60967
2021,227,28472,28493,15.70867,142.68633,15.73833,142.71383
2021,228,28535,28550,15.0235,144.219,15.00817,144.25066
2021,229,28560,28599,15.00633,144.25967,14.927,144.2195
2021,230,28643,28716,14.895,144.20517,14.69233,144.00367
2021,231,28755,28828,14.66333,143.97317,14.45116,143.76369
2021,232,28840,28883,14.4135,143.72517,14.2765,143.59118
